TCGA.02.0047.01A.01R.1849.01	TCGA.02.0055.01A.01R.1849.01	TCGA.02.2483.01A.01R.1849.01	TCGA.02.2485.01A.01R.1849.01	TCGA.02.2486.01A.01R.1849.01	TCGA.04.1348.01A.01R.1565.13	TCGA.04.1357.01A.01R.1565.13	TCGA.04.1362.01A.01R.1565.13	TCGA.04.1364.01A.01R.1565.13	TCGA.04.1365.01A.01R.1565.13
ABCA7|10347	-0.504851826981368	-0.0883140079333851	-0.655658094975561	0.113915811060724	-0.282155282740581	0.255506212004036	0.388142749791796	0.420709186972426	-0.159982018130705	-0.357393445966837
ABCA8|10351	0.368767167854066	-0.242760232262105	-0.56672878983064	-0.384195439356514	0.501879105947696	-2.16526433094464	-1.38497164917809	-1.44300266716579	-1.55587038272298	-2.0946705932151
ABCA9|10350	-0.813554638382224	-0.763493411524085	-1.1245545645782	-0.782496781611309	-1.23524537496499	-0.855398905399007	-0.747801916060121	-0.765772877441295	-1.27773708046626	-1.36481496279984
ABCB10|23456	0.169284183704623	0.267810688973595	0.325559002676953	0.128397311318041	0.216428828719918	0.250964675487256	0.510847672627311	0.139965850989108	0.405766449149767	0.304740090771849
ABCB11|8647	-2.14172436339173	-2.33419737636881	-2.18533424857284	-1.99477729011869	-2.18139653722748	-2.1492605158556	-2.20050761625983	-1.71182832576925	-1.90267678397886	-1.75655648289199
ABCB1|5243	-0.147458497477694	-0.0111654908212636	0.131189921268064	0.486687562438859	-0.602657371928279	-0.641037864734695	-0.336299029747297	-1.03460437888449	-1.14948795009369	-0.863796130881137
ABCB4|5244	-0.553580184949275	-0.46181114243404	-0.0946855040886224	-0.224196055124268	-1.06192581650442	-1.36158972897461	-1.36335652948044	-1.19248782059612	-1.41083755501207	-1.42639359129888
ABCB5|340273	-2.35400899464822	-1.50509888070432	-1.76859370254256	-2.2849501434377	-1.66317184832582	-1.5320749761555	-2.3328552788635	-1.97391255220192	-1.54883261341422	-2.11336661330461
ABCB6|10058	0.661172674317368	0.609736062272726	0.57933452408685	0.472727634138535	0.607287579474013	0.786200269709053	0.331850563527154	0.54042962166502	0.822916686807274	0.528563606693461
ABCB7|22	0.251042838157567	0.547242167467009	0.485645187980207	0.381348373919963	0.496724028096854	0.443689470475427	0.307114480307557	0.452712486446415	0.120984321288355	0.28772355818533
ABCB8|11194	0.570711521857036	0.54163798979818	0.403345760206503	0.671893437325003	0.807035538054526	0.732830439083649	0.608647122713574	0.709913131322566	0.680377181880108	0.526155332234887
ABCB9|23457	0.261909967120583	-0.260905989894941	0.0890309129421652	0.1888852668017	0.171272232983554	0.152313320724667	-0.182585734396823	0.0597912724201852	0.276751045459259	0.301411541489854
ABCC10|89845	0.237898635668855	0.208775339367075	0.11409313060273	0.247971512831833	0.276058592391216	0.505672182030261	0.611643773909539	0.642554811250851	0.559478648876895	0.377485330252704
ABCC11|85320	-1.29821766005814	-1.81761839042014	-1.70715139797288	-1.75662587988199	-1.66317184832582	-2.03264841090274	-1.87881696157127	-2.37403108251377	-2.12828566577488	-2.03487210414346
ABCC1|4363	0.652938829889818	0.679126884482929	0.557391062265445	0.711189085654821	0.372355415813184	1.00183828718266	0.625285845612153	0.798376662258517	0.899209483798609	0.827581782785117
ABCC2|1244	-1.52244675604204	-0.959881542293461	-2.03693231486528	-0.795620664350498	-1.35917329518259	-1.92171395489664	-1.45725512072071	-0.893459504955817	-1.17872822118505	-1.46248543113147
ABCC3|8714	0.87994835582581	1.03766853787292	-0.135172088828906	0.552150522665221	0.971778887192541	0.150851232106033	0.0833161876099511	-0.112931824370493	-1.46157806565915	0.404325279679827
ABCC4|10257	0.561734488769807	0.353560378167621	0.390551894698976	0.277569802707776	0.305703521368622	0.704853532098656	0.530420266786363	0.375082868942647	0.530830517307767	0.597392950121208
ABCC5|10057	0.590623690259174	0.549325586303584	0.59196457622912	0.647251306229014	0.387766942660939	0.841255766273941	0.630219487453603	0.939067208149477	0.711717681747041	0.621347604838137
ABCC6|368	-0.974155328670205	-0.928712833293728	-0.733074482377555	-1.327444422381	-0.795218844332458	-0.504307545472316	-0.318309135900153	-0.678585546496315	-0.454023407501212	-0.740350845352308
