TCGA.02.0047.01A.01R.1849.01	TCGA.02.0055.01A.01R.1849.01	TCGA.02.2483.01A.01R.1849.01	TCGA.02.2485.01A.01R.1849.01	TCGA.02.2486.01A.01R.1849.01	TCGA.04.1348.01A.01R.1565.13	TCGA.04.1357.01A.01R.1565.13	TCGA.04.1362.01A.01R.1565.13	TCGA.04.1364.01A.01R.1565.13	TCGA.04.1365.01A.01R.1565.13
AASS|10157	762.776999999999	451.857	527.705	1100	575	77.0521301777055	100.46748116081	80.4643494926868	307.005315169425	13.6799673270196
AATF|26574	803.344	918.851	2000.63	1507.14	1226.83	1155.20141447538	1536.41344416095	997.977358154198	1611.94875494947	1612.96871038637
AATK|9625	480.654	221.444	258.533	94.7619	364.024	35.4480498252605	22.6267460947751	124.994967719059	28.3269658746663	97.8892525979994
ABAT|18	9531.33	403.083	3221.95	8899.05	1143.29	349.669324384423	342.234660449203	98.5870612364542	179.510201059336	987.565189041751
ABCA10|10349	7.3758	2.8031	0	19.5238	2.439	5.43887058394942	6.88546088857976	26.5361857234234	3.44925654016596	1.48668585182034
ABCA1|19	1679.7	1766.48	2144.59	1463.29	3940.85	447.840268566402	982.305439293281	1298.3251873088	296.959620723072	922.398918073793
ABCA11P|79963	117.766	124.328	171.221	60.3571	122.25	84.056719623452	66.1015735249397	63.323597153071	335.932601855748	114.923390407055
ABCA12|26154	3.0732	2.8031	6.7546	11.9048	3.6585	0.241396683292213	1.59674919949824	0.405652579105762	-0.245742033946995	3.35576690000812
ABCA13|154664	73.143	562.298	3.3773	6.6667	20.7317	54.1699134365553	16.4531519934362	17.2130594402684	5.06414663136606	305.972115896176
ABCA17P|650655	22.1273	42.6069	22.3747	10	67.6829	8.20158204161027	29.4541302735391	89.3693398602505	26.453930157233	5.23331036266362
ABCA2|20	3991.52	1649.33	1833.46	1280.95	2690.85	224.093664031289	933.515113446982	2401.53280650648	1570.53013884144	1276.66616608596
ABCA3|21	3896.86	675.543	2478.94	2290.48	975.61	490.163664928665	934.554905206688	702.471948498486	555.141286949283	160.217595328625
ABCA4|24	5.5318	49.3343	13.0871	7.619	4.878	37.2819496122194	7.60519313593487	13.8063090849738	2.68780895001724	3.7547108646044
ABCA5|23461	306.094	174.912	37.1504	407.619	270.122	69.1776877814094	130.521172721368	467.342702682241	49.7014983774138	84.7773599457088
ABCA6|23460	39.9521	46.5312	3.3773	7.619	36.5854	11.7971896481452	18.5612800710479	11.2544185510703	3.29383069588809	7.61465466421748
ABCA7|10347	63.9233	165.382	36.7282	251.429	91.4634	321.104711542605	446.809669447398	491.866873788615	113.58381866725	70.7034239777414
ABCA8|10351	465.288	116.048	45.5937	79.0476	598.171	-0.161017849156807	5.23281579768111	4.89065241382631	2.73431690540564	0.0592069097800405
ABCA9|10350	31.347	34.7582	11.3984	30.9524	8.5366	19.9929230827586	27.9591661999862	28.4292711951169	6.38722152081414	5.22336895070918
ABCB10|23456	296.26	373.371	386.28	260	302.439	317.528907839724	600.953081834301	252.000084652535	457.947866854861	356.459012775392
ABCB11|8647	0.6146	0	0	0.9524	0	-0.127355675036097	-0.127355675036097	2.11063075305847	0.595107847770631	1.40574575452709
ABCB1|5243	144.442	197.337	243.166	595.238	42.0732	34.5557368678142	77.0944050514134	14.5402694151045	9.11796524870389	19.9868014579237
ABCB4|5244	57.1622	70.0771	141.847	114.762	13.4146	5.04921745247589	5.56621071221325	9.68044337952859	4.32968287372216	4.35970018820993
ABCB5|340273	0	5.6062	1.6887	0	2.439	2.97833305653202	-0.365732627831964	0.669121094928949	2.7993373954856	0.0122339860416982
ABCB6|10058	901.085	814.559	706.288	576.352	769.305	1186.21322210259	389.982094377087	653.984058874924	1275.77780824704	614.272950573371
ABCB7|22	356.495	706.377	565.277	466.667	590.854	510.550233797626	367.348384864759	530.794161700008	227.250122103623	342.00150657129
ABCB8|11194	734.503	697.407	464.802	912.857	1239.02	1040.24959997121	761.002457437996	978.639706984437	899.079844013237	610.68838968789
ABCB9|23457	365.371	111.31	219.918	299.062	271.476	248.93990778148	112.123838851985	208.128992581522	333.452967584848	353.583871956126
ABCC10|89845	346.046	326.279	233.457	342.857	348.781	594.739875773755	766.52723581443	833.797122230689	668.112116085751	425.459210314529
ABCC11|85320	9.8344	2.2425	2.1108	2.381	2.439	0.162315821597979	0.895133622183028	-0.354741216553134	-0.0827883590316941	0.224588380875642
ABCC12|94160	3.6879	2.8031	1.6887	0.4762	0	0	0	0	0	0
ABCC13|150000	0	0	0	0	0	0.692141867185374	-0.275288477519527	6.8306448584724	0.0302555523358328	-0.275288477519527
ABCC1|4363	884.477	954.17	670.396	999.524	439.024	2016.10592159864	792.189076119583	1207.71388491818	1538.5119338321	1269.98838241349
ABCC2|1244	5.5318	21.8641	0.4222	30	6.0976	0.526686874036277	4.23606697864468	20.7300461359695	8.41772920653135	3.91033056044056
ABCC3|8714	1477	2160.06	128.76	692.381	1835.37	248.043254044014	213.75694048909	137.751186434373	3.70600242146436	454.154248691144
ABCC4|10257	719.752	454.099	450.871	367.143	374.39	971.05014536526	630.036803662265	441.244532802664	622.709934222212	726.097935930412
